series_type,date,ron95,ron97,diesel,diesel_eastmsia
level,2025/2/27,2.05,3.43,3.18,2.15
level,2025/3/6,2.05,3.38,3.13,2.15
level,2025/3/13,2.05,3.28,3.06,2.15
level,2025/3/20,2.05,3.28,3.03,2.15
level,2025/3/27,2.05,3.28,3.03,2.15
level,2025/4/3,2.05,3.33,3.03,2.15
change_weekly,2017/4/6,0.03000000000000025,0.020000000000000018,-0.03,-0.03
change_weekly,2017/4/13,0.08000000000000007,0.08999999999999986,0.08000000000000007,0.08000000000000007
change_weekly,2017/4/20,0.029999999999999805,0.020000000000000018,0.04999999999999982,0.04999999999999982
change_weekly,2017/4/27,-0.06,-0.05,-0.07,-0.07
change_weekly,2017/5/4,-0.1,-0.1,-0.06,-0.06
change_weekly,2017/5/11,-0.1,-0.1,-0.13,-0.13
change_weekly,2017/5/18,0.07000000000000028,0.06999999999999984,0.040000000000000036,0.040000000000000036
change_weekly,2017/5/25,0.040000000000000036,0.040000000000000036,0.039999999999999813,0.039999999999999813
change_weekly,2017/6/1,-0.02,-0.02,-0.01,-0.01
change_weekly,2017/6/8,-0.05,-0.07,-0.08,-0.08
change_weekly,2017/6/15,-0.07,-0.07,-0.06,-0.06
change_weekly,2017/6/22,-0.07,-0.07,0,0
change_weekly,2017/6/29,-0.02,-0.02,-0.04,-0.04
change_weekly,2017/7/6,0.040000000000000036,0.040000000000000036,0.06999999999999984,0.06999999999999984
change_weekly,2017/7/13,0.040000000000000036,0.03000000000000025,0.050000000000000044,0.050000000000000044
change_weekly,2017/7/20,0,0,0,0
change_weekly,2017/7/27,0.05999999999999983,0.05999999999999961,0.030000000000000027,0.030000000000000027
change_weekly,2017/8/3,0.040000000000000036,0.040000000000000036,0.05999999999999983,0.05999999999999983
change_weekly,2017/8/10,0.050000000000000266,0.07000000000000028,0.010000000000000231,0.010000000000000231
change_weekly,2017/8/17,0.029999999999999805,0.040000000000000036,-0.02,-0.02
change_weekly,2017/8/24,0,0,-0.03,-0.03
change_weekly,2017/8/31,0.010000000000000231,0.009999999999999787,0.03000000000000025,0.03000000000000025
change_weekly,2017/9/7,0.040000000000000036,0.040000000000000036,0.009999999999999787,0.009999999999999787
change_weekly,2017/9/14,0.009999999999999787,0.040000000000000036,0.0900000000000003,0.0900000000000003
change_weekly,2017/9/21,-0.02,-0.03,-0.04,-0.04
change_weekly,2017/9/28,-0.03,-0.03,0.020000000000000018,0.020000000000000018
change_weekly,2017/10/5,0.029999999999999805,0.03000000000000025,0.04999999999999982,0.04999999999999982
change_weekly,2017/10/12,-0.03,-0.03,-0.07,-0.07
change_weekly,2017/10/19,0.009999999999999787,0.010000000000000231,0.009999999999999787,0.009999999999999787
change_weekly,2017/10/26,0.03000000000000025,0.029999999999999805,0.020000000000000018,0.020000000000000018
change_weekly,2017/11/2,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036
